id,input,output,note,label
6418,Deploy the PVC disk fill scenario to consume 25% of the volume's capacity in namespace 'infra'.,krknctl run pvc-scenario --namespace infra --fill-percentage 25,,pvc-scenarios
6419,How do I run a PVC disk fill scenario with health monitoring?,krknctl run pvc-scenario --namespace kube-system --fill-percentage 85 --health-check-url https://metrics.example.com/health --health-check-interval 45 --health-check-exit False,,pvc-scenarios
6420,Run memory hog on worker nodes and send data to Elasticsearch,krknctl run node-memory-hog --chaos-duration 120 --memory-consumption 90% --namespace default --enable-es True --es-server http://localhost --es-port 9200 --es-username admin --es-password secret --es-metrics-index metrics --es-alerts-index alerts,,node-memory-hog
6421,Create a CPU pressure test on node with hostname node3,krknctl run node-cpu-hog --chaos-duration 60 --cpu-percentage 50 --node-selector kubernetes.io/hostname=node3,,node-cpu-hog
6422,Run memory hog with 2 workers and namespace app-ns,krknctl run node-memory-hog --memory-workers 2 --namespace app-ns,,node-memory-hog
6423,Execute service chaos in monitoring namespace and enable telemetry with archive path,krknctl run service-disruption-scenarios --namespace monitoring --telemetry-enabled True --telemetry-archive-path /chaos/results --telemetry-group monitoring-scenario,,service-disruption-scenarios
6424,Run container scenario targeting node with label version=1.23,krknctl run container-scenarios --node-selector version=1.23,,container-scenarios
6425,What command can I use to run pod network chaos with wait duration of 90 seconds?,"krknctl run pod-network-chaos --namespace <TARGET_NAMESPACE> --label-selector app=api --traffic-type '[ingress,egress]' --wait-duration 90",Replace <TARGET_NAMESPACE> with the target namespace,pod-network-chaos
6426,Run availability zone failure in GCP with health check using auth and exit,krknctl run zone-outages --cloud-type gcp --gcp-application-credentials /tmp/gcp-creds.json --zone us-east4-a --health-check-url https://cluster-status.example.com/health --health-check-auth service-account:secret --health-check-exit True,,zone-outages
6427,Create a kubevirt disruption with telemetry and custom API URL,krknctl run kubevirt-outage --namespace monitoring --vm-name monitor-vm --telemetry-enabled True --telemetry-api-url https://custom-telemetry.com/api --telemetry-run-tag disruption-test,,kubevirt-outage
6428,Run a service outage in namespace production with metrics and alerts,krknctl run application-outages --namespace production --pod-selector '{app: service}' --chaos-duration 600 --capture-metrics True --enable-alerts True,,application-outages
6429,Create a bare metal node disruption with Prometheus and alerting,krknctl run node-scenarios-bm --scenario-file-path <PLACEHOLDER_SCENARIO_FILE> --prometheus-url=http://prometheus:9090 --enable-alerts=true,Replace <PLACEHOLDER_SCENARIO_FILE> with the actual base64-encoded scenario file path,node-scenarios-bm
6430,"Run I/O stress with 50% write, 10 workers, and in kubernetes distribution",krknctl run node-io-hog --chaos-duration 60 --io-write-bytes 50% --io-workers 10 --namespace test --distribution kubernetes,,node-io-hog
6431,Run a memory hog scenario on worker nodes for 2 minutes,krknctl run node-memory-hog --chaos-duration 120 --node-selector node-role.kubernetes.io/worker=,,node-memory-hog
6432,"What's the syntax for network chaos with ingress and packet loss, including health check URL and custom interval?",krknctl run network-chaos --traffic-type ingress --duration 90 --network-params '{loss: 0.03}' --target-node-interface '{node2: [eth1]}' --health-check-url http://monitoring.example.com/api/status --health-check-interval 30,,network-chaos
6433,gimme container disruption in namespace test,krknctl run container-scenarios --namespace test,,container-scenarios
6434,I need to run zone outage in us-east-1a with 50% CPU,krknctl run zone-outages --zone us-east-1a --duration 300,,zone-outages
6435,What's the krknctl command for blocking ingress and egress traffic on pods with label app=api in namespace production?,"krknctl run application-outages --namespace production --pod-selector '{app: api}' --block-traffic-type '[Ingress, Egress]'",,application-outages
6436,Run io hog with 50% write and node selector matching kubernetes.io/hostname=node3,krknctl run node-io-hog --io-write-bytes 50% --node-selector kubernetes.io/hostname=node3,,node-io-hog
6437,Execute the VMI deletion scenario with monitoring enabled and run it for 2 iterations,krknctl run kubevirt-outage --namespace <TARGET_NAMESPACE> --vm-name <PLACEHOLDER_VM_NAME> --iterations 2 --detached true,Replace <TARGET_NAMESPACE> and <PLACEHOLDER_VM_NAME> with actual values,kubevirt-outage
6438,Run container disruption in namespace staging with label app=etcd and recovery time of 90 seconds,krknctl run container-scenarios --namespace staging --label-selector app=etcd --expected-recovery-time 90,,container-scenarios
6439,Filter traffic on eth1 interface for 300 seconds,krknctl run node-network-filter --ingress True --egress True --interfaces eth1 --chaos-duration 300,,node-network-filter
6440,"How to run network ingress with latency and loss, make it repeat 5 times with a 90-second interval","krknctl run network-chaos --traffic-type ingress --network-params '{latency: 60ms, loss: 0.02}' --iterations 5 --wait-duration 90",,network-chaos
6441,block ingress and egress traffic for pods labeled with app=web,"krknctl run pod-network-chaos --namespace <TARGET_NAMESPACE> --label-selector app=web --traffic-type '[ingress,egress]' --test-duration 120",Replace <TARGET_NAMESPACE> with the target namespace,pod-network-chaos
6442,Inject network latency and packet loss for ingress traffic on a specific node,"krknctl run network-chaos --traffic-type ingress --duration 120 --node-name <PLACEHOLDER_NODE_NAME> --network-params '{latency: 100ms, loss: 0.05}'",Replace <PLACEHOLDER_NODE_NAME> with the actual node name,network-chaos
6443,run VMI deletion with timeout 90,krknctl run kubevirt-outage --namespace <TARGET_NAMESPACE> --vm-name <PLACEHOLDER_VM_NAME> --timeout 90,Replace <TARGET_NAMESPACE> with the actual namespace and <PLACEHOLDER_VM_NAME> with the actual VM name,kubevirt-outage
6444,Filter traffic on port 80 with health monitoring and SSL disable,krknctl run node-network-filter --ingress True --ports 80 --node-name <PLACEHOLDER_NODE_NAME> --health-check-url https://api.health.com/status --health-check-verify disable,Replace <PLACEHOLDER_NODE_NAME> with the actual node name,node-network-filter
6445,run VMI deletion in namespace production,krknctl run kubevirt-outage --namespace production --vm-name <PLACEHOLDER_VM_NAME>,Replace <PLACEHOLDER_VM_NAME> with the actual VM name,kubevirt-outage
6446,Running a network chaos experiment to mimic packet loss and latency in the staging environment.,"krknctl run network-chaos --traffic-type ingress --duration 90 --network-params '{latency: 25ms, loss: 0.01}' --label-selector node-role.kubernetes.io/master",,network-chaos
6447,Execute bare metal node chaos with telemetry enabled,krknctl run node-scenarios-bm --scenario-file-path <SCENARIO_FILE_PATH> --telemetry-enabled True --telemetry-api-url https://telemetry.example.com,Replace <SCENARIO_FILE_PATH> with the path to your base64-encoded scenario file,node-scenarios-bm
6448,Inject node-level disruption on bare metal infrastructure,krknctl run node-scenarios-bm --scenario-file-path /path/to/scenario-base64.txt,,node-scenarios-bm
6449,I need to run bare metal node disruption,krknctl run node-scenarios-bm --scenario-file-path <SCENARIO_FILE_PATH>,Replace <SCENARIO_FILE_PATH> with the path to your base64-encoded scenario file,node-scenarios-bm
6450,Execute io hog with telemetry and monitoring,krknctl run node-io-hog --chaos-duration 20 --io-write-bytes 50% --namespace monitoring --node-mount-path /var/lib --prometheus-url http://prometheus:9090 --capture-metrics True,,node-io-hog
6451,Simulate power outage using AWS and ensure it monitors health with auth and exit,krknctl run power-outages --shutdown-duration 900 --cloud-type aws --health-check-url https://cluster.health.example.com/monitor --health-check-auth user:pass --health-check-exit on-failure,,power-outages
6452,Run disk pressure with 1m block size and 50% write for 120 seconds,krknctl run node-io-hog --io-block-size 1m --io-write-bytes 50% --chaos-duration 120,,node-io-hog
6453,Run node scenario on bare metal with the given config and monitor health at a specific URL,krknctl run node-scenarios-bm --scenario-file-path <SCENARIO_FILE_PATH> --health-check-url http://example.com/health,,node-scenarios-bm
6454,Run container scenario targeting label app=api in namespace dev,krknctl run container-scenarios --namespace dev --label-selector app=api,,container-scenarios
6455,Execute container scenario in namespace prod with wait time of 15 minutes,krknctl run container-scenarios --namespace prod --wait-duration 900,,container-scenarios
6456,Run a node disruption scenario on bare metal with the provided configuration file,krknctl run node-scenarios-bm --scenario-file-path /path/to/scenario-base64.txt,,node-scenarios-bm
6457,Can you provide the command to perform a syn flood attack on port 7001?,krknctl run syn-flood --target-port 7001,,syn-flood
6458,Execute an outage simulation targeting pods labeled service=frontend,"krknctl run application-outages --namespace dev --pod-selector '{service: frontend}' --block-traffic-type '[Ingress, Egress]'",,application-outages
6459,Run a kubevirt outage scenario in namespace test for 2 minutes,krknctl run kubevirt-outage --namespace test --vm-name <PLACEHOLDER_VM_NAME> --timeout 120,Replace <PLACEHOLDER_VM_NAME> with the actual VM name,kubevirt-outage
6460,Stress memory on a node for 90 seconds and log to ES,krknctl run node-memory-hog --chaos-duration 90 --memory-consumption 50% --node-selector node-role.kubernetes.io/worker= --enable-es True --es-server http://localhost:9200 --es-port 9200 --es-password admin --es-metrics-index metrics,,node-memory-hog
6461,Start a PVC disk fill process in the 'monitoring' namespace with 20% capacity used.,krknctl run pvc-scenario --namespace monitoring --fill-percentage 20,,pvc-scenarios
6462,Execute a pod CPU hog for 20 seconds on namespace dev,krknctl run node-cpu-hog --chaos-duration 20 --cpu-percentage 50 --namespace dev,,node-cpu-hog
6463,Generate memory pressure on worker nodes with telemetry and alerts,krknctl run node-memory-hog --memory-consumption 90% --node-selector node-role.kubernetes.io/worker= --telemetry-enabled True --telemetry-run-tag worker-memory-pressure --alerts-profile /alerts/worker-alerts.yaml --telemetry-api-url https://telemetry.example.com,,node-memory-hog
6464,generate a syn flood with pod count of 5 on port 9000,krknctl run syn-flood --target-port 9000 --number-of-pods 5,,syn-flood
6465,Run a network filter to drop traffic on port 8080 and log data in ES,krknctl run node-network-filter --ingress True --egress True --ports 8080 --enable-es True --es-server http://localhost:9200 --es-port 9200 --es-password admin --es-verify-certs true,,node-network-filter
6466,I need to run pod network chaos for pods in kube-system with ingress and egress blocked,"krknctl run pod-network-chaos --namespace kube-system --label-selector app=controller --traffic-type '[ingress,egress]'",,pod-network-chaos
6467,"Run power outage in AWS cloud, enable telemetry with ES logging, and check cluster health.",krknctl run power-outages --cloud-type aws --aws-access-key-id <AWS_ACCESS_KEY_ID> --aws-secret-access-key <AWS_SECRET_ACCESS_KEY> --telemetry-enabled True --telemetry-api-url https://telemetry.example.com --enable-es True --es-server https://elasticsearch.example.com --health-check-interval 60,Replace <AWS_ACCESS_KEY_ID> and <AWS_SECRET_ACCESS_KEY> with actual AWS credentials.,power-outages
6468,Simulate a power outage on the cluster for 20 minutes to ensure our alerting systems work properly.,krknctl run power-outages --shutdown-duration 1200 --cloud-type gcp --timeout 600,,power-outages
6469,Stress memory on nodes labeled node=worker-1 for 20 seconds and send data to ES,krknctl run node-memory-hog --chaos-duration 20 --memory-consumption 20% --namespace monitoring --node-selector node=worker-1 --enable-es True --es-server https://elasticsearch.internal.com --es-port 9200 --es-username admin --es-password secret --es-alerts-index alerts,,node-memory-hog
6470,"Block traffic on eth0 and port 80 with monitoring, send data to Prometheus for 5 minutes",krknctl run node-network-filter --interfaces eth0 --ports 80 --chaos-duration 300 --prometheus-url http://prometheus:9090 --capture-metrics True,,node-network-filter
6471,Run service hijacking with a health check URL and interval,krknctl run service-hijacking --health-check-url http://localhost:8080/health --health-check-interval 30,,service-hijacking
6472,need to eat memory on test namespace,krknctl run node-memory-hog --memory-consumption 80% --namespace test,,node-memory-hog
6473,"Execute I/O hog with node selector and taints, using 20m write in production namespace","krknctl run node-io-hog --io-write-bytes 20m --node-selector node-role.kubernetes.io/worker --taints ""node-role.kubernetes.io/worker"" --namespace production",,node-io-hog
6474,Delete crucial objects in namespace production,krknctl run service-disruption-scenarios --namespace <TARGET_NAMESPACE>,Replace <TARGET_NAMESPACE> with the target namespace name,service-disruption-scenarios
6475,run stop start kubelet for node named worker-1,krknctl run node-scenarios --action stop_start_kubelet_scenario --node-name worker-1,,node-scenarios
6476,Filter network traffic on nodes labeled node-role.kubernetes.io/worker,"krknctl run node-network-filter --node-selector node-role.kubernetes.io/worker= --ingress True --egress True --ports 80,443 --chaos-duration 120",,node-network-filter
6477,"Execute the node network filter to block traffic on eth0 and port 80, run it once in parallel mode.",krknctl run node-network-filter --ingress True --egress True --ports 80 --interfaces eth0 --execution parallel --namespace staging,,node-network-filter
6478,Run service disruption targeting pods labeled app=frontend,krknctl run service-disruption-scenarios --namespace <TARGET_NAMESPACE>,Replace <TARGET_NAMESPACE> with the target namespace name,service-disruption-scenarios
6479,I need to run a scenario that blocks egress traffic for 5 minutes,krknctl run application-outages --namespace <TARGET_NAMESPACE> --pod-selector '{app: api}' --chaos-duration 300 --block-traffic-type '[Egress]',Replace <TARGET_NAMESPACE> with the actual namespace name,application-outages
6480,Block egress traffic to pods in namespace dev for 15 minutes and send data to ES,krknctl run application-outages --namespace dev --pod-selector '{app: api}' --chaos-duration 900 --block-traffic-type '[Egress]' --enable-es True --es-server http://localhost:9200 --es-port 9200 --es-username user --es-password pass --es-metrics-index egress-metrics --es-alerts-index egress-alerts,,application-outages
6481,Execute a service chaos scenario targeting app-.* pods in dev namespace with telemetry to ES,krknctl run service-disruption-scenarios --namespace dev --label-selector app=.* --enable-es True --es-server https://elasticsearch.example.com --es-port 9200 --es-metrics-index metrics-logs --es-alerts-index alerts-logs,,service-disruption-scenarios
6482,"Execute a persistent volume fill test in the dev namespace, targeting 50% usage for 120 seconds to validate storage behavior.",krknctl run pvc-scenario --namespace dev --pvc-name <PLACEHOLDER_PVC_NAME> --fill-percentage 50 --duration 120,Replace <PLACEHOLDER_PVC_NAME> with the actual PVC name.,pvc-scenarios
6483,Run a scenario that blocks ingress to pods labeled app=web in default namespace,krknctl run application-outages --namespace default --pod-selector '{app: web}' --block-traffic-type '[Ingress]',,application-outages
6484,Set up iptables rules for node network disruption with ingress and egress blocking,"krknctl run node-network-filter --ingress True --egress True --ports 8080,8443 --chaos-duration 60",,node-network-filter
6485,want to run time skew on test namespace,krknctl run time-scenarios --namespace test --action skew_date,,time-scenarios
6486,Execute service hijacking on Kubernetes with alerts and run once,krknctl run service-hijacking --scenario-file-path <PLACEHOLDER> --distribution kubernetes --alerts-profile <PLACEHOLDER> --iterations 1,Replace <PLACEHOLDER> with actual paths to scenario file and alerts profile,service-hijacking
6487,What's the syntax for a memory stress test in the production namespace with 20% memory usage and 1 worker?,krknctl run node-memory-hog --memory-consumption 20% --memory-workers 1 --namespace production,,node-memory-hog
6488,"Run io stress with telemetry, logs and events backup in app-ns",krknctl run node-io-hog --chaos-duration 90 --io-block-size 1m --namespace app-ns --telemetry-enabled True --telemetry-api-url https://telemetry.example.com --telemetry-logs-backup True --telemetry-events-backup true,,node-io-hog
6489,Set up an AWS zone outage in us-west-1 with a custom duration,krknctl run zone-outages --cloud-type aws --zone us-west-1 --duration 90,,zone-outages
6490,Run node scenario on bare metal and push data to ES,krknctl run node-scenarios-bm --enable-es True --es-server http://elasticsearch.internal --es-port 9200 --es-username admin --es-password secret --es-metrics-index krkn-metrics --es-alerts-index krkn-alerts --scenario-file-path <SCENARIO_FILE_PATH>,Replace <SCENARIO_FILE_PATH> with the actual path to your scenario file,node-scenarios-bm
6491,Reboot node with alert monitoring and data logging,krknctl run node-scenarios --action node_reboot_scenario --enable-alerts True --capture-metrics True --metrics-path /custom/metrics --alerts-path /custom/alerts,,node-scenarios
6492,Prepare for a compliance audit by skewing time on nodes with specific labels.,krknctl run time-scenarios --object-type node --label-selector kubernetes.io/hostname=node3,,time-scenarios
6493,Filter ingress on pods labeled env=test with duration,krknctl run pod-network-filter --ingress True --egress False --ports 80 --pod-selector env=test --namespace test --chaos-duration 20,,pod-network-filter
6494,Just run a bandwidth restriction on default namespace.,"krknctl run network-chaos --traffic-type egress --egress ""{bandwidth: 100mbit}""",,network-chaos
6495,Run ingress network fault with 120 seconds duration,krknctl run network-chaos --traffic-type ingress --duration 120,,network-chaos
6496,Cause a VM failure for namespace default with kill count 2,krknctl run kubevirt-outage --namespace default --vm-name my-vm --kill-count 2,,kubevirt-outage
6497,Execute a container kill in the app-ns namespace with metrics and critical alert checks.,krknctl run container-scenarios --namespace app-ns --label-selector component=controller --capture-metrics True --check-critical-alerts True,,container-scenarios
6498,Execute service hijacking with monitoring and critical alert detection in a test namespace,krknctl run service-hijacking --scenario-file-path <SCENARIO_FILE_PATH> --enable-alerts True --check-critical-alerts True,Replace <SCENARIO_FILE_PATH> with the actual path to the scenario file,service-hijacking
6499,"Run power outage test with GCP integration, capture metrics, and use health check for validation.",krknctl run power-outages --cloud-type gcp --gcp-application-credentials /path/to/gcp-credentials.json --capture-metrics True --prometheus-url https://prometheus.example.com --health-check-interval 60 --health-check-url https://healthcheck.example.com,Ensure the GCP application credentials file path is correct.,power-outages
6500,Execute pod network chaos targeting nodes labeled kubernetes.io/hostname=node3,krknctl run pod-network-chaos --namespace production --label-selector kubernetes.io/hostname=node3 --traffic-type '[egress]' --test-duration 90 --wait-duration 180,,pod-network-chaos
6501,"Filter pod traffic for pods labeled app=web in the dev namespace with monitoring enabled, capturing metrics and checking critical alerts",krknctl run pod-network-filter --ingress True --egress True --ports 80 --pod-selector app=web --namespace dev --chaos-duration 60 --capture-metrics True --check-critical-alerts True --metrics-path /tmp/metrics.json,,pod-network-filter
6502,Start an app outage scenario in namespace production for pods labeled app=backend.,krknctl run application-outages --namespace production --pod-selector '{app: backend}' --chaos-duration 600,,application-outages
6503,I want to run a kubevirt outage scenario for namespace prod with timeout 200 seconds?,krknctl run kubevirt-outage --namespace prod --vm-name <PLACEHOLDER_VM_NAME> --timeout 200,Replace <PLACEHOLDER_VM_NAME> with the actual VM name.,kubevirt-outage
6504,Just give me the command for running bare metal node disruption with telemetry and logs,krknctl run node-scenarios-bm --scenario-file-path <PLACEHOLDER_SCENARIO_FILE> --telemetry-enabled True --telemetry-logs-backup True --telemetry-archive-path /chaos/logs,Replace <PLACEHOLDER_SCENARIO_FILE> with the actual base64-encoded scenario file path,node-scenarios-bm
6505,need container scenario with label app=frontend,krknctl run container-scenarios --label-selector app=frontend,,container-scenarios
6506,Run a PVC fill operation targeting the 'app-pvc' in namespace 'production' with 85% usage,krknctl run pvc-scenario --namespace production --pvc-name app-pvc --fill-percentage 85 --duration 60,,pvc-scenarios
6507,Need to simulate node disk detachment and reattachment in a testing environment.,krknctl run node-scenarios --action node_disk_detach_attach_scenario,,node-scenarios
6508,Give me the krknctl command to run io hog in monitoring namespace with 10 workers and cerberus enabled,krknctl run node-io-hog --namespace monitoring --io-workers 10 --chaos-duration 120 --health-check-interval 30 --health-check-url http://cerberus:8080/health,,node-io-hog
6509,What would the krknctl command look like to filter traffic on eth1 for port 80 and 443?,"krknctl run node-network-filter --interfaces eth1 --ports 80,443",,node-network-filter
6510,Execute container scenario with namespace and node target,krknctl run container-scenarios --namespace production --label-selector app=api,,container-scenarios
6511,What's the syntax for service hijacking that monitors status and exits on error,krknctl run service-hijacking --health-check-url http://chaos-api.example.com/alive --health-check-exit True --health-check-interval 30,,service-hijacking
6512,I need to run a bare metal node scenario and ensure the system checks health every 2 minutes,krknctl run node-scenarios-bm --scenario-file-path <PLACEHOLDER_SCENARIO_FILE> --health-check-url http://metrics.collector/api/health --health-check-interval 120 --health-check-auth bearer:token --health-check-exit on-failure,Replace <PLACEHOLDER_SCENARIO_FILE> with the actual base64-encoded scenario file path,node-scenarios-bm
6513,Start a SYN flood on the app=frontend service,krknctl run syn-flood --target-port 80 --target-service-label app=frontend,,syn-flood
6514,Run memory stress on the default namespace with 2 workers,krknctl run node-memory-hog --chaos-duration 60 --memory-consumption 90% --namespace default --memory-workers 2 --wait-duration 30,,node-memory-hog
6515,Run memory hog for 5 minutes and send data to Elasticsearch instance,krknctl run node-memory-hog --chaos-duration 300 --memory-consumption 90% --namespace kube-system --enable-es True --es-server http://elasticsearch:9200 --es-port 9200 --es-username esuser --es-password secretpassword --es-metrics-index metrics --es-alerts-index alerts,,node-memory-hog
6516,Run chaos on pods with label app=nginx in default namespace,"krknctl run pod-network-chaos --namespace default --label-selector app=nginx --traffic-type '[ingress,egress]' --test-duration 60",,pod-network-chaos
6517,run egress only without specifying interfaces or node and send data to elasticsearch,krknctl run network-chaos --traffic-type egress --duration 90 --label-selector node-role.kubernetes.io/master --egress '{latency: 20ms}' --enable-es True --es-server http://localhost --es-port 9200 --es-username elastic --es-password changeme,,network-chaos
6518,Run service hijacking and send metrics to Elasticsearch with custom index names,krknctl run service-hijacking --scenario-file-path <PLACEHOLDER_SCENARIO_FILE> --enable-es True --es-server http://localhost:9200 --es-metrics-index custom-metrics --es-alerts-index custom-alerts,Replace <PLACEHOLDER_SCENARIO_FILE> with the path to your scenario file,service-hijacking
6519,Execute a container chaos injection targeting the etcd container in namespace default,krknctl run container-scenarios --namespace default --label-selector k8s-app=etcd --container-name etcd,,container-scenarios
6520,Run network fault for 10 minutes with latency of 50ms,krknctl run network-chaos --traffic-type ingress --duration 600 --network-params '{latency: 50ms}',,network-chaos
6521,wanna run disk stress with 4k block size,krknctl run node-io-hog --io-block-size 4k,,node-io-hog
6522,run network disruption on master nodes,krknctl run network-chaos --traffic-type egress --label-selector node-role.kubernetes.io/master --egress '{latency: 20ms}',,network-chaos
6523,Block traffic in namespace monitoring with telemetry and alerting,krknctl run application-outages --namespace monitoring --pod-selector '{app: collector}' --chaos-duration 600 --capture-metrics True --enable-alerts True,,application-outages
6524,Inject service hijacking to return mock responses for the frontend app,krknctl run service-hijacking --scenario-file-path <SCENARIO_FILE_PATH>,Replace <SCENARIO_FILE_PATH> with the path to your scenario file,service-hijacking
6525,What's the command for running container outage in namespace infra labeled app=api?,krknctl run container-scenarios --namespace infra --label-selector app=api,,container-scenarios
6526,Run pod network chaos in namespace default and exclude pods labeled with app=monitoring,krknctl run pod-network-chaos --namespace default --exclude-label app=monitoring,,pod-network-chaos
6527,Block outgoing traffic on port 9090 and send data to ES cluster,krknctl run pod-network-filter --ingress False --egress True --ports 9090 --namespace kube-system --enable-es True --es-server http://elasticsearch:9200 --es-port 9200 --es-username esuser --es-password espass --es-metrics-index metrics,,pod-network-filter
6528,Give me the krknctl command to skew time on pods with app=web and run it 4 times,krknctl run time-scenarios --object-type pod --label-selector app=web --action skew_time --namespace production --iterations 4,,time-scenarios
6529,Cause pod disruption in namespace kube-system with specific label and push data to ES,krknctl run pod-scenarios --namespace kube-system --pod-label component=etcd --disruption-count 1 --enable-es True --es-server http://elasticsearch.kube:9200 --es-port 9200 --es-username esadmin --es-password kube123 --es-verify-certs False --es-metrics-index etcd-pod-metrics --es-alerts-index etcd-pod-alerts,,pod-scenarios
6530,"Run an app outage in infra namespace for 20 minutes, block egress traffic to pods labeled app=worker, capture metrics and enable health checks",krknctl run application-outages --namespace infra --pod-selector '{app: worker}' --block-traffic-type '[Egress]' --chaos-duration 1200 --capture-metrics True --health-check-interval 60,,application-outages
6531,Our team is conducting a chaos drill to evaluate the impact of zone failure in AWS us-west-1.,krknctl run zone-outages --cloud-type aws --zone us-west-1 --duration 90,,zone-outages
6532,Simulate a high I/O workload by running PVC fill in the kube-system namespace at 50% for 300 seconds.,krknctl run pvc-scenario --namespace kube-system --pvc-name <PLACEHOLDER_PVC_NAME> --fill-percentage 50 --duration 300,Replace <PLACEHOLDER_PVC_NAME> with the actual PVC name.,pvc-scenarios
6533,run pvc fill with 20% in namespace prod,krknctl run pvc-scenario --namespace production --fill-percentage 20,,pvc-scenarios
6534,What command do I use to filter both incoming and outgoing traffic on port 8080 with a 5-minute duration?,krknctl run node-network-filter --ingress True --egress True --ports 8080 --chaos-duration 300 --namespace default,,node-network-filter
6535,run app failure for pods labeled app=web in prod,"krknctl run application-outages --namespace prod --pod-selector '{app: web}' --block-traffic-type '[Ingress, Egress]'",,application-outages
6536,plz block traffic to pod in monitoring namespace,krknctl run pod-network-chaos --namespace monitoring --label-selector app=prometheus --traffic-type '[egress]',,pod-network-chaos
6537,Delete the VM in namespace kube-system and store results in ES,krknctl run kubevirt-outage --namespace kube-system --vm-name system-vm --enable-es True --es-server https://elasticsearch.internal.com --es-port 9200 --es-password pass --es-metrics-index metrics,,kubevirt-outage
6538,Run service hijacking with custom scenario file and wait for 20 seconds,krknctl run service-hijacking --scenario-file-path <PLACEHOLDER> --wait-duration 20,Replace <PLACEHOLDER> with actual path to scenario file,service-hijacking
6539,Execute time drift on pods labeled app=frontend in monitoring namespace,krknctl run time-scenarios --action skew_date --label-selector app=frontend --namespace monitoring,,time-scenarios
6540,"What's the syntax for running a PVC disk fill with telemetry, logs and events backup in namespace prod?",krknctl run pvc-scenario --namespace prod --telemetry-enabled True --telemetry-logs-backup True --telemetry-events-backup True,,pvc-scenarios
6541,"Filter pod traffic on port 8081 for pods in test namespace, with observability flags",krknctl run pod-network-filter --ingress True --egress True --ports 8081 --pod-selector app=frontend --namespace test --chaos-duration 20 --capture-metrics True --prometheus-url http://prometheus:9090,,pod-network-filter
6542,Run container disruption with namespace dev and recovery time of 200 seconds,krknctl run container-scenarios --namespace dev --expected-recovery-time 200,,container-scenarios
6543,Run memory stress on nodes with taints and restrict to 1 node,"krknctl run node-memory-hog --taints ""key=value"" --number-of-nodes 1",,node-memory-hog
6544,What's the syntax for node termination but skip nodes labeled as canary?,krknctl run node-scenarios --action node_termination_scenario --exclude-label canary,,node-scenarios
6545,What command would I use to restart a container with the label k8s-app=etcd?,krknctl run container-scenarios --label-selector k8s-app=etcd,,container-scenarios
6546,Run service hijacking with the service config in dev namespace,krknctl run service-hijacking --scenario-file-path <SCENARIO_FILE_PATH>,Replace <SCENARIO_FILE_PATH> with the path to your scenario file,service-hijacking
6547,I/O hog with telemetry enabled and full backup configuration,krknctl run node-io-hog --chaos-duration 60 --io-workers 10 --namespace <TARGET_NAMESPACE> --telemetry-enabled True --telemetry-api-url https://telemetry.example.com --telemetry-prometheus-backup True --telemetry-events-backup True --telemetry-logs-backup true,Replace <TARGET_NAMESPACE> with the target namespace,node-io-hog
6548,Simulating container disruption in the test namespace with label selector app=api.,krknctl run container-scenarios --namespace test --label-selector app=api,,container-scenarios
6549,I need to run a node scenario on bare metal and capture both metrics and alerts,krknctl run node-scenarios-bm --scenario-file-path <PLACEHOLDER_SCENARIO_FILE> --capture-metrics=true --enable-alerts=true --prometheus-url=http://prometheus:9090,Replace <PLACEHOLDER_SCENARIO_FILE> with the actual base64-encoded scenario file path,node-scenarios-bm
6550,How do I block traffic on a specific namespace using node selector?,krknctl run node-network-filter --ingress True --egress False --node-selector node-role.kubernetes.io/worker= --ports 443 --namespace dev,,node-network-filter
6551,Run VM failure in namespace monitoring and send to ES,krknctl run kubevirt-outage --namespace monitoring --vm-name monitor-vm --enable-es True --es-server http://elasticsearch:9200 --es-port 9200 --es-username elastic --es-password secret --es-metrics-index telemetry,,kubevirt-outage
6552,Could you show me how to run I/O stress with node selector and default namespace?,krknctl run node-io-hog --node-selector kubernetes.io/hostname=node3 --namespace <TARGET_NAMESPACE>,Replace <TARGET_NAMESPACE> with the desired namespace.,node-io-hog
6553,Run the scenario in kube-system namespace with 30-second timeout and wait for 2 minutes,krknctl run kubevirt-outage --namespace kube-system --vm-name <PLACEHOLDER_VM_NAME> --timeout 30 --wait-duration 120,Replace <PLACEHOLDER_VM_NAME> with actual VM name,kubevirt-outage
6554,Execute a VM failure in namespace dev with kill count of 2,krknctl run kubevirt-outage --namespace dev --vm-name my-vm --kill-count 2,,kubevirt-outage
6555,How do I run service disruption targeting pods labeled app=frontend in test namespace with ES,krknctl run service-disruption-scenarios --namespace test --label-selector app=frontend --enable-es True --es-server http://localhost --es-port 9200 --es-username user --es-password pass --es-verify-certs False,,service-disruption-scenarios
6556,Execute a service hijacking scenario with telemetry enabled and health checks in production namespace,krknctl run service-hijacking --scenario-file-path <SCENARIO_FILE_PATH> --telemetry-enabled True --telemetry-api-url https://telemetry.example.com --health-check-interval 30 --health-check-url https://health.example.com --telemetry-group production --telemetry-run-tag prod-chaos-run --distribution kubernetes,Replace <SCENARIO_FILE_PATH> with the actual path to the scenario file,service-hijacking
6557,Our team needs to block traffic to a zone in AWS as part of a system-wide availability check.,krknctl run zone-outages --cloud-type aws --zone ap-southeast-1 --duration 60,,zone-outages
6558,Just block ingress in namespace infra,krknctl run service-disruption-scenarios --namespace infra,,service-disruption-scenarios
